,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
231,Geraldton,AU,1612024233,-28.7667,114.6,71.6,83,0,6.91
232,Lumeje,AO,1612024277,-11.55,20.7833,74.16,74,80,5.08
233,São João da Barra,BR,1612024277,-21.6403,-41.0511,89.6,40,0,16.11
234,Rio Grande,BR,1612024277,-32.035,-52.0986,87.8,70,75,12.66
235,Kaitangata,NZ,1612023942,-46.2817,169.8464,48.99,90,12,1.99
236,Sorong,ID,1612024278,-0.8833,131.25,80.11,78,100,2.71
237,Kopayhorod,UA,1612024278,48.8592,27.7969,28.0,88,57,7.87
238,Rockland,US,1612024278,41.1668,-74.0496,24.01,49,0,1.99
239,Harlingen,US,1612024258,26.1906,-97.6961,78.8,65,75,28.77
240,Juneau,US,1612024279,58.3019,-134.4197,30.0,86,75,3.44
241,Isangel,VU,1612024146,-19.55,169.2667,73.4,94,75,10.07
242,Brejo,BR,1612024279,-3.6844,-42.7503,90.14,53,98,5.46
243,Lenina,RU,1612024279,46.0667,39.7833,40.17,71,64,8.14
244,Norman Wells,CA,1612023894,65.282,-126.8329,-27.4,75,75,1.07
245,Mount Gambier,AU,1612024239,-37.8333,140.7667,55.4,88,5,6.91
246,Salalah,OM,1612024082,17.0151,54.0924,73.4,56,20,3.44
247,Rurrenabaque,BO,1612024280,-14.4413,-67.5278,81.3,85,96,6.02
248,Khatanga,RU,1612024063,71.9667,102.5,-45.15,77,3,1.3
249,Zyryanka,RU,1612024281,65.75,150.85,-31.85,83,100,10.85
250,Port-Gentil,GA,1612024103,-0.7193,8.7815,86.0,74,40,10.36
251,Esim,GH,1612024281,4.8699,-2.2405,82.9,74,40,8.3
252,Touros,BR,1612024201,-5.1989,-35.4608,86.0,58,40,19.57
253,Vardø,NO,1612024145,70.3705,31.1107,28.4,93,75,25.32
254,Hirara,JP,1612024282,24.8,125.2833,65.37,59,75,15.99
255,Luwero,UG,1612024282,0.8492,32.4731,74.55,54,88,4.12
256,Mattoon,US,1612024170,39.4831,-88.3728,35.01,64,90,14.97
257,Kodino,RU,1612024282,63.7198,39.6447,13.33,96,92,4.99
258,Ust-Tsilma,RU,1612024248,65.441,52.1498,3.67,92,100,9.44
259,Quibdó,CO,1612024203,5.6947,-76.6611,90.77,58,86,1.74
260,Sturgis,US,1612024283,41.7992,-85.4192,28.4,59,90,14.97
261,Esperance,AU,1612023926,-33.8667,121.9,60.8,77,0,10.36
262,Santiago del Estero,AR,1612024283,-27.7951,-64.2615,96.84,39,7,9.86
263,Te Anau,NZ,1612024284,-45.4167,167.7167,43.03,86,54,1.59
264,Saint-Philippe,RE,1612024132,-21.3585,55.7679,82.4,74,0,11.5
265,Furtwangen im Schwarzwald,DE,1612024284,48.05,8.2,46.99,94,100,1.99
266,Bandhi,PK,1612024284,26.5861,68.3006,62.6,51,0,6.91
267,Aliquippa,US,1612024285,40.6367,-80.2401,27.0,58,75,4.61
268,Paita,PE,1612024285,-5.0892,-81.1144,87.8,48,0,13.8
269,Flinders,AU,1612024285,-34.5833,150.8552,73.0,88,51,5.99
270,Goderich,CA,1612024247,43.7501,-81.7165,26.6,68,100,8.05
271,Arrondissement de Thonon-les-Bains,FR,1612024286,46.25,6.5,43.0,96,100,4.88
272,Shimoda,JP,1612024282,34.6667,138.95,35.01,76,0,1.01
273,Genhe,CN,1612024286,50.7833,121.5167,-24.21,84,99,0.94
274,Saint-Augustin,CA,1612024074,51.226,-58.6502,27.5,93,27,15.28
275,Kavieng,PG,1612024104,-2.5744,150.7967,82.2,78,28,14.03
276,Beyneu,KZ,1612024286,45.3167,55.2,33.39,93,66,4.52
277,Muravlenko,RU,1612024287,63.7898,74.523,-22.97,85,100,16.06
278,Jönköping,SE,1612024287,57.7814,14.1562,21.2,100,43,2.3
279,Bengkulu,ID,1612024107,-3.8004,102.2655,76.14,88,100,7.27
280,Novki,RU,1612024287,56.3608,41.0775,21.49,96,100,12.03
281,Roald,NO,1612024077,62.5833,6.1333,35.6,69,40,9.22
282,Wenling,CN,1612024288,28.3669,121.36,48.74,79,44,3.38
283,Whitehorse,CA,1612024288,60.7161,-135.0538,-9.99,84,40,0.6
284,Jitaúna,BR,1612024288,-14.0189,-39.8889,90.5,39,59,5.73
285,East London,ZA,1612024074,-33.0153,27.9116,73.4,83,75,10.36
286,Yārāda,IN,1612024289,17.65,83.2667,73.4,94,40,2.3
287,Dvinskoy,RU,1612024289,62.1535,45.1175,22.15,97,100,7.2
288,Vadsø,NO,1612024289,70.0744,29.7487,28.4,86,90,14.97
289,Ozernovskiy,RU,1612024289,51.5,156.5167,13.15,95,100,12.8
290,Namatanai,PG,1612024260,-3.6667,152.4333,80.65,80,93,12.17
291,Lethem,GY,1612024290,3.3803,-59.7968,91.45,46,60,11.5
292,Yancheng,CN,1612024290,33.3856,120.1253,44.4,61,98,5.35
293,Plettenberg Bay,ZA,1612024290,-34.0527,23.3716,70.05,68,3,4.41
294,São José da Coroa Grande,BR,1612024290,-8.8978,-35.1478,83.46,66,93,10.65
295,Srednekolymsk,RU,1612024075,67.45,153.6833,-40.4,81,58,3.0
296,Fort Nelson,CA,1612024137,58.8053,-122.7002,-25.6,75,40,0.78
297,Talnakh,RU,1612024270,69.4865,88.3972,-30.91,71,0,5.64
298,Killybegs,IE,1612024291,54.6333,-8.45,41.0,75,75,16.11
299,Tilichiki,RU,1612024233,60.4667,166.1,-10.55,92,100,20.09
300,Tungor,RU,1612024246,53.3808,142.9564,-8.63,90,77,14.16
301,Harper,LR,1612024081,4.375,-7.7169,83.05,74,53,10.11
302,Ukiah,US,1612024292,39.1502,-123.2078,44.6,87,90,4.83
303,Narsaq,GL,1612023906,60.9167,-46.05,41.0,28,90,35.68
304,Manuk Mangkaw,PH,1612024292,4.8,119.85,80.69,79,100,13.15
305,Olinda,BR,1612024292,-8.0089,-34.8553,82.4,65,40,11.5
306,College,US,1612024211,64.8569,-147.8028,-7.6,71,90,1.21
307,Marrakesh,MA,1612024229,31.6315,-8.0083,73.4,38,17,9.22
308,Korla,CN,1612024195,41.7597,86.1469,25.81,79,0,6.08
309,Temple,US,1612024199,31.0982,-97.3428,66.0,88,100,16.11
310,Mporokoso,ZM,1612024294,-9.3727,30.125,65.55,91,97,1.16
311,Santarém,BR,1612024294,-2.4431,-54.7083,80.6,89,90,6.91
312,Santa Barbara,US,1612024294,34.7333,-120.0343,45.0,93,1,2.15
313,Bulgan,MN,1612024238,48.8125,103.5347,9.48,80,24,10.31
314,Coronel Vivida,BR,1612024295,-25.9797,-52.5678,71.78,94,99,6.53
315,Kang,BW,1612024506,-23.6752,22.7876,79.38,56,55,3.87
316,San Patricio,US,1612024112,28.017,-97.5169,73.99,73,75,28.77
317,Petropavl,KZ,1612024044,54.8753,69.1628,19.72,94,100,10.29
318,Pangkalanbuun,ID,1612024086,-2.6833,111.6167,75.47,92,100,0.87
319,Enshi,CN,1612024072,30.3,109.4833,47.25,74,94,0.58
320,Jurm,AF,1612024296,36.8648,70.8342,36.12,61,99,6.4
321,Antofagasta,CL,1612024141,-23.65,-70.4,73.99,60,20,11.5
322,Maningrida,AU,1612024117,-12.0667,134.2667,77.94,88,100,7.72
323,Orzu,TJ,1612024297,37.5593,68.8184,53.6,32,75,4.47
324,Shenjiamen,CN,1612024094,29.9576,122.298,50.67,79,56,14.9
325,Lokosovo,RU,1612024297,61.1333,74.8167,-19.37,86,100,13.47
326,Porto-Novo,BJ,1612024098,6.4965,2.6036,89.6,70,20,11.5
327,Alenquer,BR,1612024297,-1.9417,-54.7383,80.6,89,90,6.91
328,Clyde River,CA,1612024089,70.4692,-68.5914,-20.2,76,1,5.86
329,Birao,CF,1612024298,10.2849,22.7882,81.9,15,0,7.25
330,Wahiawā,US,1612024298,21.5028,-158.0236,71.01,100,75,3.44
331,Naze,JP,1612024271,28.3667,129.4833,51.26,67,0,8.75
332,Dali,CN,1612024153,25.7,100.1833,44.69,74,1,5.41
333,Wajima,JP,1612024234,37.4,136.9,40.55,76,96,16.62
334,Praia da Vitória,PT,1612024255,38.7333,-27.0667,68.0,77,75,26.89
335,Bonthe,SL,1612024299,7.5264,-12.505,84.88,64,23,12.28
336,Mehamn,NO,1612024115,71.0357,27.8492,26.11,96,100,21.47
337,Eskil,TR,1612024224,38.4017,33.4131,41.97,84,100,25.64
338,Ilulissat,GL,1612024138,69.2167,-51.1,1.4,60,40,5.75
339,Sitka,US,1612023894,57.0531,-135.33,37.4,60,75,9.22
340,Fort-Shevchenko,KZ,1612024510,44.5086,50.263,36.68,81,100,13.38
341,Rock Sound,BS,1612024300,24.9,-76.2,68.09,63,87,15.05
342,Alofi,NU,1612024138,-19.0595,-169.9187,75.2,100,100,6.91
343,Olavarría,AR,1612024268,-36.8927,-60.3225,66.99,50,100,5.01
344,Mar del Plata,AR,1612024010,-38.0023,-57.5575,64.4,59,90,17.27
345,Yinchuan,CN,1612024088,38.4681,106.2731,29.61,70,37,6.78
346,Port Macquarie,AU,1612023901,-31.4333,152.9167,70.0,99,30,9.24
347,Longyearbyen,SJ,1612023894,78.2186,15.6401,-2.2,50,20,19.57
348,Klaksvík,FO,1612024097,62.2266,-6.589,33.8,100,75,1.14
349,Kailua,US,1612024250,21.4022,-157.7394,73.4,73,20,13.8
350,Coquimbo,CL,1612024203,-29.9533,-71.3436,68.0,73,20,12.66
351,Maltahöhe,NA,1612024302,-24.8333,16.9833,89.65,10,7,7.25
352,Turukhansk,RU,1612024302,65.8167,87.9833,-30.96,76,0,5.08
353,Mogzon,RU,1612024290,51.7435,111.9606,-13.99,88,100,3.87
354,Vostok,RU,1612024212,46.4856,135.8833,-18.76,88,100,3.62
355,Burgersdorp,ZA,1612024302,-30.9977,26.3286,78.94,17,0,8.86
